出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘,普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
1111004,111,2,6189,豐藝電子股份有限公司,電子通路業,2.82,10.0000,16190894.00,521590.00,213679.00,584799.00
1111004,111,2,6191,精成科技股份有限公司,電子零組件業,2.62,10.0000,12031296.00,1178774.00,490338.00,1251668.00
1111004,111,2,6192,巨路國際股份有限公司,其他電子業,3.91,10.0000,3222090.00,556528.00,28010.00,417315.00
1111004,111,2,6196,帆宣系統科技股份有限公司,其他電子業,4.41,10.0000,21491469.00,1220274.00,-16801.00,830470.00
1111004,111,2,6197,佳必琪國際股份有限公司,電子零組件業,1.44,10.0000,2011534.00,177355.00,38664.00,176212.00
1111004,111,2,6201,亞弘電科技股份有限公司,其他電子業,1.67,10.0000,1414460.00,101674.00,54986.00,149119.00
1111004,111,2,6202,盛群半導體股份有限公司,半導體業,3.84,10.0000,3583754.00,932999.00,168776.00,884177.00
1111004,111,2,6205,詮欣股份有限公司,電子零組件業,1.91,10.0000,947488.00,157156.00,35321.00,151837.00
1111004,111,2,6206,飛捷科技股份有限公司,電腦及週邊設備業,4.41,10.0000,3157646.00,669282.00,61724.00,621290.00
1111004,111,2,6209,今國光學工業股份有限公司,光電業,0.07,10.0000,1828095.00,-68338.00,64634.00,11893.00
1111004,111,2,6213,聯茂電子股份有限公司,電子零組件業,3.25,10.0000,15914713.00,1093525.00,478460.00,1243815.00
1111004,111,2,6214,精誠資訊股份有限公司,資訊服務業,1.90,10.0000,15411093.00,736394.00,-105272.00,480562.00
1111004,111,2,6215,和椿科技股份有限公司,其他電子業,1.56,10.0000,1028267.00,107025.00,66276.00,127973.00
1111004,111,2,6216,居易科技股份有限公司,通信網路業,1.58,10.0000,592670.00,121884.00,53172.00,140045.00
1111004,111,2,6224,聚鼎科技股份有限公司,電子零組件業,0.50,10.0000,1522501.00,-103163.00,78656.00,-69835.00
1111004,111,2,6225,天瀚科技股份有限公司,光電業,-0.06,10.0000,14239.00,-2055.00,-444.00,-2499.00
1111004,111,2,6226,光鼎電子股份有限公司,光電業,0.17,10.0000,550213.00,-2612.00,32030.00,23082.00
1111004,111,2,6230,尼得科超眾科技股份有限公司,電腦及週邊設備業,1.51,10.0000,5191804.00,169195.00,53506.00,130395.00
1111004,111,2,6235,華孚科技股份有限公司,電腦及週邊設備業,0.61,10.0000,1848009.00,112629.00,-3171.00,105663.00
1111004,111,2,6239,力成科技股份有限公司,半導體業,6.59,10.0000,44093974.00,7485839.00,615832.00,6343243.00
1111004,111,2,6243,迅杰科技股份有限公司,半導體業,1.16,10.0000,384778.00,5198.00,46114.00,51312.00
1111004,111,2,6257,矽格股份有限公司,半導體業,4.00,10.0000,9773831.00,2240581.00,378988.00,2087207.00
1111004,111,2,6269,台郡科技股份有限公司,電子零組件業,3.23,10.0000,16804083.00,826102.00,467034.00,1071573.00
1111004,111,2,6271,同欣電子工業股份有限公司,半導體業,10.67,10.0000,7071151.00,1869090.00,450094.00,1905981.00
1111004,111,2,6277,宏正自動科技股份有限公司,電腦及週邊設備業,2.49,10.0000,2522286.00,348322.00,17373.00,298429.00
1111004,111,2,6278,台灣表面黏著科技股份有限公司,光電業,7.05,10.0000,33510698.00,2638114.00,-17808.00,2069353.00
1111004,111,2,6281,全國電子股份有限公司,電子通路業,3.38,10.0000,11056811.00,421816.00,-2619.00,335357.00
1111004,111,2,6282,康舒科技股份有限公司,電子零組件業,0.70,10.0000,12759554.00,355586.00,104175.00,378919.00
1111004,111,2,6283,淳安電子股份有限公司,其他電子業,0.05,10.0000,971702.00,-35252.00,64470.00,16552.00
1111004,111,2,6285,啟碁科技股份有限公司,通信網路業,2.20,10.0000,39631484.00,848477.00,196953.00,860837.00
1111004,111,2,6288,聯嘉光電股份有限公司,汽車工業,0.07,10.0000,1949833.00,-73157.00,78319.00,11992.00
1111004,111,2,6405,悅城科技股份有限公司,光電業,0.24,10.0000,234960.00,-7675.00,73127.00,15776.00
1111004,111,2,6409,旭隼科技股份有限公司,其他電子業,20.46,10.0000,10621295.00,2118159.00,54923.00,1780609.00
1111004,111,2,6412,群光電能科技股份有限公司,電子零組件業,3.88,10.0000,20763913.00,1718059.00,166581.00,1529056.00
1111004,111,2,6414,樺漢科技股份有限公司,電腦及週邊設備業,7.14,10.0000,51111672.00,1865196.00,736321.00,1857574.00
1111004,111,2,6415,矽力杰股份有限公司,半導體業,9.72, 2.5000,12821732.00,3822263.00,361687.00,3806613.00
1111004,111,2,6416,瑞祺電通股份有限公司,通信網路業,2.70,10.0000,2382320.00,224896.00,48720.00,205790.00
1111004,111,2,6426,統新光訊股份有限公司,通信網路業,1.41,10.0000,354543.00,47401.00,20310.00,54143.00
1111004,111,2,6431,光麗生技控股股份有限公司,生技醫療業,-0.97,10.0000,122111.00,-72135.00,3896.00,-56557.00
1111004,111,2,6438,迅得機械股份有限公司,其他電子業,4.57,10.0000,2686617.00,381805.00,28341.00,321294.00
1111004,111,2,6442,光紅建聖股份有限公司,通信網路業,2.38,10.0000,1476663.00,128545.00,81888.00,157700.00
1111004,111,2,6443,晶太陽能科技股份有限公司,光電業,0.10,10.0000,3897088.00,84698.00,-48518.00,43272.00
1111004,111,2,6449,鈺邦科技股份有限公司,電子零組件業,2.23,10.0000,1336738.00,147831.00,119341.00,198160.00
1111004,111,2,6451,訊芯科技控股股份有限公司,半導體業,0.49,10.0000,2092015.00,-161183.00,94558.00,44544.00
1111004,111,2,6456,GIS Holding Limited,光電業,3.50,10.0000,57145651.00,1084096.00,240277.00,1152144.00
1111004,111,2,6464,台灣數位光訊科技股份有限公司,其他,3.87,10.0000,2174830.00,739590.00,-64920.00,522348.00
1111004,111,2,6477,安集科技股份有限公司,光電業,0.41,10.0000,1397064.00,85909.00,-26777.00,48272.00
1111004,111,2,6491,晶碩光學股份有限公司,生技醫療業,10.03,10.0000,2903104.00,825755.00,2607.00,699942.00
1111004,111,2,6504,南六企業股份有限公司,其他,0.67,10.0000,2829799.00,-26458.00,124399.00,48759.00
1111004,111,2,6505,台塑石化股份有限公司,油電燃氣業,3.21,10.0000,424837198.00,33982906.00,4152530.00,30565762.00
1111004,111,2,6515,穎崴科技股份有限公司,半導體業,9.64,10.0000,1857983.00,382812.00,23627.00,327659.00
1111004,111,2,6525,捷敏股份有限公司,半導體業,4.03,10.0000,2639712.00,444089.00,189091.00,520558.00
1111004,111,2,6531,愛普科技股份有限公司,半導體業,7.38, 5.0000,3083378.00,992699.00,507844.00,1179140.00
1111004,111,2,6533,晶心科技股份有限公司,半導體業,3.88,10.0000,351167.00,-71538.00,274404.00,196317.00
1111004,111,2,6541,泰福生技股份有限公司,生技醫療業,-2.15,10.0000,6169.00,-749360.00,-9520.00,-758903.00
1111004,111,2,6550,北極星藥業集團股份有限公司,生技醫療業,-0.77,10.0000,5170.00,-530997.00,-24521.00,-555563.00
1111004,111,2,6552,易華電子股份有限公司,半導體業,1.54,10.0000,1327959.00,114129.00,50155.00,127848.00
1111004,111,2,6558,興能高科技股份有限公司,其他電子業,-0.44,10.0000,587873.00,-78667.00,25803.00,-41472.00
1111004,111,2,6573,虹揚發展科技股份有限公司,半導體業,-0.93,10.0000,673715.00,-103193.00,19111.00,-85127.00
1111004,111,2,6579,研揚科技股份有限公司,電腦及週邊設備業,3.94,10.0000,4037143.00,579173.00,18409.00,458627.00
1111004,111,2,6581,台灣鋼聯股份有限公司,其他,4.86,10.0000,1278784.00,663669.00,14452.00,540576.00
1111004,111,2,6582,申豐特用應材股份有限公司,橡膠工業,1.16,10.0000,1105897.00,213045.00,28225.00,123194.00
1111004,111,2,6585,鼎基先進材料股份有限公司,其他,2.21,10.0000,1330328.00,138463.00,31000.00,140271.00
1111004,111,2,6591,動力科技股份有限公司,電腦及週邊設備業,5.48,10.0000,1011129.00,209704.00,55475.00,176058.00
1111004,111,2,6592,和潤企業股份有限公司,其他,3.47,10.0000,10647469.00,2387910.00,238752.00,1987450.00
1111004,111,2,6598,Applied BioCode Corporation,生技醫療業,-1.29,10.0000,161801.00,-106630.00,1243.00,-105410.00
1111004,111,2,6605,帝寶工業股份有限公司,汽車工業,5.56,10.0000,8174586.00,918756.00,171758.00,912201.00
1111004,111,2,6625,必應創造股份有限公司,其他,-1.74,10.0000,320710.00,-67589.00,-9428.00,-78460.00
1111004,111,2,6641,基士德科技股份有限公司,其他,2.37,10.0000,900299.00,43856.00,46946.00,84715.00
